Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Discount Percentage,Customer Income Level,Item Price
1,55,Male,Blouse,Clothing,75.22,Kentucky,L,Gray,Winter,3.1,Yes,Store Pickup,Yes,Yes,14,Venmo,Fortnightly,14.36350297,Medium,68.69
2,19,Male,Sweater,Clothing,122.05,Maine,L,Maroon,Winter,3.1,Yes,Standard,Yes,Yes,2,Cash,Fortnightly,28.76785766,Low,115.16
3,50,Male,Jeans,Clothing,40.91,Massachusetts,S,Maroon,Spring,3.1,Yes,Store Pickup,Yes,Yes,23,Credit Card,Weekly,23.29984855,High,40.28
4,21,Male,Sandals,Footwear,43.33,Rhode Island,M,Maroon,Spring,3.5,Yes,Standard,Yes,Yes,49,PayPal,Weekly,19.9664621,Medium,39.87
5,45,Male,Blouse,Clothing,105.09,Oregon,M,Turquoise,Spring,2.7,Yes,Store Pickup,Yes,Yes,31,PayPal,Annually,8.900466011,Medium,98.14
6,46,Male,Sneakers,Footwear,36.75,Wyoming,M,White,Summer,2.9,Yes,Standard,Yes,Yes,14,Venmo,Weekly,8.899863008,Medium,33.5
7,63,Male,Shirt,Clothing,130.94,Montana,M,Gray,Fall,3.2,Yes,Standard,Yes,Yes,49,Cash,Quarterly,6.452090304,High,128.22
8,27,Male,Shorts,Clothing,44.44,Louisiana,L,Charcoal,Winter,3.2,Yes,Standard,Yes,Yes,19,Credit Card,Weekly,26.65440364,Medium,43.64
9,26,Male,Coat,Outerwear,116.67,West Virginia,L,Silver,Summer,2.6,Yes,2-Day Shipping,Yes,Yes,8,Venmo,Annually,20.02787529,Low,110.85
10,57,Male,Handbag,Accessories,50.3,Missouri,M,Pink,Spring,4.8,Yes,Standard,Yes,Yes,4,Cash,Quarterly,22.70181444,Low,48.88
11,53,Male,Shoes,Footwear,135.88,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,Yes,26,Bank Transfer,Bi-Weekly,5.514612357,Medium,134.01
12,30,Male,Shorts,Clothing,60.1,Hawaii,S,Olive,Winter,4.9,Yes,Standard,Yes,Yes,10,Bank Transfer,Fortnightly,29.2477463,Medium,57.98
13,61,Male,Coat,Outerwear,152.3,Delaware,M,Gold,Winter,4.5,Yes,Standard,Yes,Yes,37,Venmo,Fortnightly,25.81106602,High,141.21
14,65,Male,Dress,Clothing,48.32,New Hampshire,M,Violet,Spring,4.7,Yes,Standard,Yes,Yes,31,PayPal,Weekly,10.30847777,High,45.96
15,64,Male,Coat,Outerwear,169.27,New York,L,Teal,Winter,4.7,Yes,Store Pickup,Yes,Yes,34,Debit Card,Weekly,9.54562418,High,168.48
16,64,Male,Skirt,Clothing,100.67,Rhode Island,M,Teal,Winter,2.8,Yes,Standard,Yes,Yes,8,PayPal,Monthly,9.585112746,Medium,98.98
17,25,Male,Sunglasses,Accessories,17.36,Alabama,S,Gray,Spring,4.1,Yes,Standard,Yes,Yes,44,Debit Card,Bi-Weekly,12.60605607,High,15.85
18,53,Male,Dress,Clothing,157.3,Mississippi,XL,Lavender,Winter,4.7,Yes,Standard,Yes,Yes,36,Venmo,Quarterly,18.11891079,High,145.53
19,52,Male,Sweater,Clothing,60.18,Montana,S,Black,Summer,4.6,Yes,Standard,Yes,Yes,17,Cash,Weekly,15.79862547,Low,59.6
20,66,Male,Pants,Clothing,113.75,Rhode Island,M,Green,Summer,3.3,Yes,Standard,Yes,Yes,46,Debit Card,Bi-Weekly,12.2807285,High,108.95
21,21,Male,Pants,Clothing,37.64,Louisiana,M,Black,Winter,2.8,Yes,Express,Yes,Yes,50,Cash,Every 3 Months,20.29632237,Low,35.86
22,31,Male,Pants,Clothing,26.7,North Carolina,M,Charcoal,Winter,4.1,Yes,2-Day Shipping,Yes,Yes,22,Debit Card,Quarterly,8.487346516,Low,24.47
23,56,Male,Pants,Clothing,57.2,California,M,Peach,Summer,3.2,Yes,Standard,Yes,Yes,32,Debit Card,Annually,12.30361621,High,53.64
24,31,Male,Pants,Clothing,63.67,Oklahoma,XL,White,Winter,4.4,Yes,2-Day Shipping,Yes,Yes,40,Credit Card,Weekly,14.15904608,Low,60.52
25,18,Male,Jacket,Outerwear,162.29,Florida,M,Green,Fall,2.9,Yes,Express,Yes,Yes,16,Debit Card,Weekly,16.40174961,Medium,159.34
26,18,Male,Hoodie,Clothing,157.37,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,Yes,14,PayPal,Annually,24.62939903,Medium,146.05
27,38,Male,Jewelry,Accessories,103.02,Nevada,M,Red,Spring,3.6,Yes,Standard,Yes,Yes,13,Credit Card,Annually,9.991844554,High,94.55
28,56,Male,Shorts,Clothing,106.74,Kentucky,L,Cyan,Summer,5.0,Yes,Standard,Yes,Yes,7,Bank Transfer,Every 3 Months,17.85586096,Medium,97.73
29,54,Male,Handbag,Accessories,18.32,North Carolina,M,Gray,Fall,4.4,Yes,Standard,Yes,Yes,41,PayPal,Every 3 Months,19.81036422,Low,17.96
30,31,Male,Dress,Clothing,26.72,Wyoming,S,Black,Fall,4.1,Yes,2-Day Shipping,Yes,Yes,14,Credit Card,Weekly,6.161260318,Medium,25.88
31,57,Male,Jewelry,Accessories,46.2,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,Yes,16,Credit Card,Monthly,20.1886213,High,44.98
32,33,Male,Dress,Clothing,132.29,West Virginia,L,Brown,Winter,4.7,Yes,Standard,Yes,Yes,45,Venmo,Monthly,9.263103092,High,127.74
33,36,Male,Jacket,Outerwear,111.95,Kansas,M,Silver,Summer,4.9,Yes,Standard,Yes,Yes,37,Venmo,Annually,6.626289825,Low,106.19
34,54,Male,Pants,Clothing,41.39,Colorado,L,Green,Summer,3.3,Yes,Standard,Yes,Yes,45,Cash,Quarterly,28.72213843,High,38.32
35,36,Male,T-shirt,Clothing,32.62,North Dakota,L,Violet,Spring,4.6,Yes,Store Pickup,Yes,Yes,38,PayPal,Quarterly,29.14080083,Medium,29.69
36,54,Male,Blouse,Clothing,122.78,Massachusetts,M,Cyan,Summer,4.0,Yes,Standard,Yes,Yes,48,Credit Card,Bi-Weekly,25.2099337,High,120.39
37,35,Male,T-shirt,Clothing,22.41,Illinois,M,Maroon,Winter,4.6,Yes,2-Day Shipping,Yes,Yes,44,PayPal,Fortnightly,12.61534423,Low,20.72
38,35,Male,Jeans,Clothing,120.05,Indiana,S,Cyan,Summer,2.8,Yes,Standard,Yes,Yes,10,PayPal,Weekly,7.44180285,High,111.89
39,29,Male,Dress,Clothing,121.16,Florida,M,Red,Winter,3.7,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,22.10582566,Medium,120.27
40,70,Male,Pants,Clothing,67.37,Arizona,S,Turquoise,Summer,4.2,Yes,Standard,Yes,Yes,18,Credit Card,Monthly,16.00381234,Low,66.6
41,69,Male,Handbag,Accessories,93.14,Louisiana,L,Beige,Winter,4.6,Yes,Standard,Yes,Yes,31,Debit Card,Quarterly,8.050955871,Medium,87.68
42,67,Male,Scarf,Accessories,40.03,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,Yes,40,Venmo,Annually,17.37942275,Low,39.78
43,20,Male,Coat,Outerwear,115.84,Tennessee,M,Beige,Spring,4.1,Yes,Standard,Yes,Yes,15,PayPal,Annually,5.859713028,High,112.2
44,25,Male,Scarf,Accessories,80.49,Ohio,L,Lavender,Fall,3.7,Yes,Next Day Air,Yes,Yes,19,PayPal,Fortnightly,27.73301005,Low,75.66
45,39,Male,Hat,Accessories,94.09,Kentucky,S,Silver,Summer,4.6,Yes,Store Pickup,Yes,Yes,45,PayPal,Weekly,11.46949954,Low,89.85
46,50,Male,Socks,Clothing,38.08,Tennessee,XL,Indigo,Fall,2.9,Yes,Standard,Yes,Yes,25,PayPal,Annually,21.56305711,High,35.55
