"Gender","Category","Location","Size","Season","Subscription Status","Shipping Type","Discount Applied","Promo Code Used","Payment Method","Frequency of Purchases","Customer Income Level","Age","Item Purchased","Purchase Amount (USD)","Color","Review Rating","Previous Purchases","Discount Percentage","Item Price"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Adult","Blouse",75.22,"Gray",3.1,14,14.36350297,68.69
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,"Young Adult","Sweater",122.05,"Maroon",3.1,2,28.76785766,115.16
0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,"Adult","Jeans",40.91,"Maroon",3.1,23,23.29984855,40.28
0.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,"Young Adult","Sandals",43.33,"Maroon",3.5,49,19.9664621,39.87
0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,"Adult","Blouse",105.09,"Turquoise",2.7,31,8.900466011,98.14
0.0,1.0,5.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,"Adult","Sneakers",36.75,"White",2.9,14,8.899863008,33.5
0.0,0.0,6.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,"Senior","Shirt",130.94,"Gray",3.2,49,6.452090304,128.22
0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,"Young Adult","Shorts",44.44,"Charcoal",3.2,19,26.65440364,43.64
0.0,2.0,8.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,"Young Adult","Coat",116.67,"Silver",2.6,8,20.02787529,110.85
0.0,3.0,9.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,"Adult","Handbag",50.3,"Pink",4.8,4,22.70181444,48.88
0.0,1.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,"Adult","Shoes",135.88,"Purple",4.1,26,5.514612357,134.01
0.0,0.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,"Young Adult","Shorts",60.1,"Olive",4.9,10,29.2477463,57.98
0.0,2.0,12.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,"Senior","Coat",152.3,"Gold",4.5,37,25.81106602,141.21
0.0,0.0,13.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,"Senior","Dress",48.32,"Violet",4.7,31,10.30847777,45.96
0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,"Senior","Coat",169.27,"Teal",4.7,34,9.54562418,168.48
0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,0.0,"Senior","Skirt",100.67,"Teal",2.8,8,9.585112746,98.98
0.0,3.0,15.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,4.0,2.0,"Young Adult","Sunglasses",17.36,"Gray",4.1,44,12.60605607,15.85
