Age,Gender,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Discount Percentage,Customer Income Level,Item Price
55,1,1,75.22,16,0,7,3,3.1,1,4,1,1,14,5,3,14.36350297,2,68.69
19,1,1,122.05,18,0,12,3,3.1,1,3,1,1,2,1,3,28.76785766,1,115.16
50,1,1,40.91,20,2,12,1,3.1,1,4,1,1,23,2,6,23.29984855,0,40.28
21,1,2,43.33,38,1,12,1,3.5,1,3,1,1,49,4,6,19.9664621,2,39.87
45,1,1,105.09,36,1,21,1,2.7,1,4,1,1,31,4,0,8.900466011,2,98.14
46,1,2,36.75,49,1,23,2,2.9,1,3,1,1,14,5,6,8.899863008,2,33.5
63,1,1,130.94,25,1,7,0,3.2,1,3,1,1,49,1,5,6.452090304,0,128.22
27,1,1,44.44,17,0,4,3,3.2,1,3,1,1,19,2,6,26.65440364,2,43.64
26,1,3,116.67,47,0,19,2,2.6,1,0,1,1,8,5,0,20.02787529,1,110.85
57,1,0,50.3,24,1,16,1,4.8,1,3,1,1,4,1,5,22.70181444,1,48.88
53,1,2,135.88,3,0,17,0,4.1,1,4,1,1,26,0,1,5.514612357,2,134.01
30,1,1,60.1,10,2,13,3,4.9,1,3,1,1,10,0,3,29.2477463,2,57.98
61,1,3,152.3,7,1,6,3,4.5,1,3,1,1,37,5,3,25.81106602,0,141.21
65,1,1,48.32,28,1,22,1,4.7,1,3,1,1,31,4,6,10.30847777,0,45.96
64,1,3,169.27,31,0,20,3,4.7,1,4,1,1,34,3,6,9.54562418,0,168.48
64,1,1,100.67,38,1,20,3,2.8,1,3,1,1,8,4,4,9.585112746,2,98.98
25,1,0,17.36,0,2,7,1,4.1,1,3,1,1,44,3,1,12.60605607,0,15.85
53,1,1,157.3,23,3,10,3,4.7,1,3,1,1,36,5,5,18.11891079,0,145.53
52,1,1,60.18,25,2,1,2,4.6,1,3,1,1,17,1,6,15.79862547,1,59.6
66,1,1,113.75,38,1,8,2,3.3,1,3,1,1,46,3,1,12.2807285,0,108.95
21,1,1,37.64,17,1,1,3,2.8,1,1,1,1,50,1,2,20.29632237,1,35.86
31,1,1,26.7,32,1,4,3,4.1,1,0,1,1,22,3,5,8.487346516,1,24.47
56,1,1,57.2,4,1,15,2,3.2,1,3,1,1,32,3,0,12.30361621,0,53.64
31,1,1,63.67,35,3,23,3,4.4,1,0,1,1,40,2,6,14.15904608,1,60.52
18,1,3,162.29,8,1,8,0,2.9,1,1,1,1,16,3,6,16.40174961,2,159.34
18,1,1,157.37,42,1,19,2,3.6,1,1,1,1,14,4,0,24.62939903,2,146.05
38,1,0,103.02,27,1,18,1,3.6,1,3,1,1,13,2,0,9.991844554,0,94.55
56,1,1,106.74,16,0,5,2,5.0,1,3,1,1,7,0,2,17.85586096,2,97.73
54,1,0,18.32,32,1,7,0,4.4,1,3,1,1,41,4,2,19.81036422,1,17.96
31,1,1,26.72,49,2,1,0,4.1,1,0,1,1,14,2,6,6.161260318,2,25.88
57,1,0,46.2,32,0,1,3,4.7,1,3,1,1,16,2,4,20.1886213,0,44.98
33,1,1,132.29,47,0,3,3,4.7,1,3,1,1,45,5,4,9.263103092,0,127.74
36,1,3,111.95,15,1,19,2,4.9,1,3,1,1,37,5,0,6.626289825,1,106.19
54,1,1,41.39,5,0,8,2,3.3,1,3,1,1,45,1,5,28.72213843,0,38.32
36,1,1,32.62,33,0,22,1,4.6,1,4,1,1,38,4,5,29.14080083,2,29.69
54,1,1,122.78,20,1,5,2,4.0,1,3,1,1,48,2,1,25.2099337,0,120.39
35,1,1,22.41,12,1,12,3,4.6,1,0,1,1,44,4,3,12.61534423,1,20.72
35,1,1,120.05,13,2,5,2,2.8,1,3,1,1,10,4,6,7.44180285,0,111.89
29,1,1,121.16,8,1,18,3,3.7,1,0,1,1,44,5,2,22.10582566,2,120.27
70,1,1,67.37,2,2,21,2,4.2,1,3,1,1,18,2,4,16.00381234,1,66.6
69,1,0,93.14,17,0,0,3,4.6,1,3,1,1,31,3,5,8.050955871,2,87.68
67,1,0,40.03,1,1,14,1,4.5,1,3,1,1,40,5,0,17.37942275,1,39.78
