Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Discount Percentage,Customer Income Level,Item Price
1,55,1,Blouse,1,0.2505591115909617,16,L,Gray,Winter,3.1,1,Store Pickup,Yes,Yes,14,5,3,14.36350297,2,0.24478035744112242
2,19,1,Sweater,1,0.4311328757615486,18,L,Maroon,Winter,3.1,1,Standard,Yes,Yes,2,1,3,28.76785766,1,0.4388257892099549
3,50,1,Jeans,1,0.11826174134341019,20,S,Maroon,Spring,3.1,1,Store Pickup,Yes,Yes,23,2,6,23.29984855,0,0.12614832136295306
4,21,1,Sandals,2,0.12759312099946016,38,M,Maroon,Spring,3.5,1,Standard,Yes,Yes,49,4,6,19.9664621,2,0.1244362786036412
5,45,1,Blouse,1,0.36573609932906614,36,M,Turquoise,Spring,2.7,1,Store Pickup,Yes,Yes,31,4,0,8.900466011,2,0.3677551361282779
6,46,1,Sneakers,2,0.10222102259582017,49,M,White,Summer,2.9,1,Standard,Yes,Yes,14,5,6,8.899863008,2,0.09783698012360115
7,63,1,Shirt,1,0.465412200200509,25,M,Gray,Fall,3.2,1,Standard,Yes,Yes,49,1,5,6.452090304,0,0.4933606146651077
8,27,1,Shorts,1,0.13187321662682192,17,L,Charcoal,Winter,3.2,1,Standard,Yes,Yes,19,2,6,26.65440364,2,0.14017872056121597
9,26,1,Coat,3,0.41038790776586725,47,L,Silver,Summer,2.6,1,2-Day Shipping,Yes,Yes,8,5,0,20.02787529,1,0.42082846166694504
10,57,1,Handbag,0,0.15446903678568674,24,M,Pink,Spring,4.8,1,Standard,Yes,Yes,4,1,5,22.70181444,1,0.16205946216803074
11,53,1,Shoes,2,0.48446055371327224,3,L,Purple,Fall,4.1,1,Store Pickup,Yes,Yes,26,0,1,5.514612357,2,0.5175379989978286
12,30,1,Shorts,1,0.19225726845068253,10,S,Olive,Winter,4.9,1,Standard,Yes,Yes,10,0,3,29.2477463,2,0.20005845999665942
13,61,1,Coat,3,0.5477751214621733,7,M,Gold,Winter,4.5,1,Standard,Yes,Yes,37,5,3,25.81106602,0,0.5476031401369634
14,65,1,Dress,1,0.14683427161255494,28,M,Violet,Spring,4.7,1,Standard,Yes,Yes,31,4,6,10.30847777,0,0.14986637715049275
15,64,1,Coat,3,0.6132104573147221,31,L,Teal,Winter,4.7,1,Store Pickup,Yes,Yes,34,3,6,9.54562418,0,0.6614748622014364
16,64,1,Skirt,1,0.34869283565975173,38,M,Teal,Winter,2.8,1,Standard,Yes,Yes,8,4,4,9.585112746,2,0.3712627359278437
17,25,1,Sunglasses,0,0.0274543070872214,0,S,Gray,Spring,4.1,1,Standard,Yes,Yes,44,3,1,12.60605607,0,0.024135627192249876
18,53,1,Dress,1,0.5670548314953344,23,XL,Lavender,Winter,4.7,1,Standard,Yes,Yes,36,5,5,18.11891079,0,0.5656422248204444
19,52,1,Sweater,1,0.19256574381121308,25,S,Black,Summer,4.6,1,Standard,Yes,Yes,17,1,6,15.79862547,1,0.20682311675296478
20,66,1,Pants,1,0.3991285571065012,38,M,Green,Summer,3.3,1,Standard,Yes,Yes,46,3,1,12.2807285,0,0.4128946049774512
