Property_ID,Title,Price_RM,Region,Subarea,Property_Type,Title_Type,Size_sqft,Bedrooms,Bathrooms,Agent_Firm
114522813,SEMI D Di dalam Pekan Kangar Taman Empiang Ceria Kangar Perlis,379000,Perlis,Kangar,Semi-Detached House,Freehold,2500,3,2,Private Seller
114830250,"SEMI D KANGAR PALING BERBALOI❗❗❗ TAMAN KECHOR INDAH, KANGAr, PERLIs‼️",399000,Perlis,Kangar,Semi-Detached House,Freehold,2443,3,2,HIT PROERPTIES SDN BHD
114529826,"Sebuah rumah Semi D setingkat untuk di jual di Taman Ira Jaya, Kangar",375000,Perlis,Kangar,Semi-Detached House,Freehold,2307,3,2,Legacy Real Property  Firm: E - 11925
114529817,"Sebuah rumah Semi D 2 Tingkat untuk di jual di Taman Hijrah, Kangar",570000,Perlis,Kangar,Semi-Detached House,Freehold,2625,4,3,Legacy Real Property  Firm: E - 11925
114784640,House including land,550000,Perlis,Kangar,Terraced House,Freehold,15760,3,2,Private Seller
114809402,UNIT SEGAK MERELIT❗😍Semid Taman Seri Lanchang Arau🥰TANAH LUAS❗❗❗❗😱,455000,Perlis,Arau,Semi-Detached House,Freehold,3763,4,2,HIT PROPERTIES
111858181,Rumah Semi-D Untuk Dijual,373000,Perlis,Kangar,Semi-Detached House,Leasehold,2030,4,3,Private Seller
104470685,Rumah Kedai Untuk Di Jual,550000,Perlis,Kangar,Shop lot,Leasehold,2448,N/A,N/A,Private Seller
114807413,"TERES 2 TINGKAT TAMAN SRI SENTANG, UTAN AJI📍Bawah Harga Pasaran✅️",410000,Perlis,Kangar,2-storey Terraced House,Freehold,1400,4,3,PRIMA HARTA
114802263,"KANGAR Taman Hijrah, Siap Reno + Siap Extend, Sangat Cantik",570000,Perlis,Kangar,Semi-Detached House,Freehold,2625,4,3,Legacy Real Property Sdn Bhd
114764952,kebun getah,300000,Perlis,Padang Besar,Agricultural Land,Leasehold,3.03,N/A,N/A,Private Seller
114172569,Bawah Pasaran Taman Permai Jalan Hospital Kangar,310000,Perlis,Kangar,1-storey Terraced House,Freehold,2247,3,3,Quality Home Realty
114795215,"Tanah Bendang Di Wang Besar, Bintong, Perlis",110000,Perlis,Kangar,Agricultural Land,Freehold,0.43,N/A,N/A,The Roof Realty
114754115,Teres 1 Tingkat Dalam Bandar Kangar,140000,Perlis,Kangar,1-storey Terraced House,Leasehold,1173,2,3,Private Seller
114758697,"Tanah Lot Pida 2 , arau perlis",170000,Perlis,Arau,Residential Land,Freehold,1,N/A,N/A,Private Seller
114792018,"Rubber Estate Land in Kubang Peron, Mukim Padang Siding, Perlis",6534015,Perlis,Others,Agricultural Land,Freehold,30,N/A,N/A,MLP PROPERTIES SDN BHD
114788076,Semi D Taman Bukit Kayangan Kangar Perlis,375000,Perlis,Kangar,Semi-Detached House,Freehold,2701,3,2,The Roof Realty
114788079,SEBELAH UITM ARAU❗️TERES TAMAN SRI WANG📍Port Sewaan✅️ FULL LOAN💯,240000,Perlis,Arau,1-storey Terraced House,Freehold,1399,3,2,PRIMA HARTA
114787376,Tanah Sebelah Tmn Seri Hartamas Kangar (Freehold & Rapat Jalan Besar),185000,Perlis,Kangar,Agricultural Land,Freehold,8000,N/A,N/A,THE ROOF REALTY SDN BHD
114787237,"KG SERDANG / CHEMUMAR, SANGLANG | Tanah Bendang Tepi Jalan Besar",130000,Perlis,Others,Agricultural Land,Freehold,30000,N/A,N/A,THE ROOF REALTY SDN BHD
114786605,Tanah Untuk Tapak Rumah - Behor Inai,160000,Perlis,Kangar,Agricultural Land,Freehold,1.16,N/A,N/A,The Roof Realty Sdn Bhd
114786519,"Paddy Field, Mukim Sanglang, Perlis, 2nd & 3rd layer from main road",2268492,Perlis,Others,Agricultural Land,Freehold,6.94,N/A,N/A,Private Seller
114683055,Tanah untuk dijual segera,350000,Perlis,Kangar,Agricultural Land,Freehold,2.03,N/A,N/A,Private Seller
