Property_ID,Title,Price_RM,Region,Subarea,Property_Type,Title_Type,Size_sqft,Bedrooms,Bathrooms,Agent_Firm
113224343,"2-STOREY | FREEHOLD - Puchong Utama, near Meranti Jaya Bukit Puchong",485000,Selangor,Puchong,2-storey Terraced House,Freehold,1080,4,3,IQI Realty Sdn Bhd
111691798,Puncak Jalil -✅ End Lot + Garden🌱 ✅ Not facing house‼️✅ Fully Extend,738000,Selangor,Puncak Jalil,2-storey Terraced House,Leasehold,1820,4,3,IQI Realty Sdn Bhd
114706402,Monthly 2.4K 5Bed 6bath Semi D Concepts House,588000,Selangor,Nilai,New Semi-Detached House,Freehold,3300,5,6,Dream Property Realty
114698724,40x85 Sepang Super Big Luxury Semi D Freehold,702000,Selangor,Sepang,New Semi-Detached House,Freehold,3613,5,6,Dream Property Realty
114507043,"[Good Condition] 2 Sty Terrace , Bandar Country Homes, Desa 1, Rawang",378000,Selangor,Rawang,2-storey Terraced House,Freehold,1170,4,3,VPG Realty
114580844,Tanah di Alor Gajah tepi jalan,185000,Melaka,Alor Gajah,Agricultural Land,Freehold,0.7,N/A,N/A,N/A
110961896,"[Fully Renovated] 2 Sty END LOT ,M Residence 1 ,Tasik Puteri ,Rawang",495000,Selangor,Rawang,2-storey Terraced House,Freehold,1350,4,3,VPG Realty
114802992,MURAH❗LEVEL 3+LIFT🌟3 BILIK 802 sqft🌟Alunan Bayu Seksyen 24 Shah Alam,310000,Selangor,Shah Alam,Apartment,Leasehold,802,3,2,Maxxan Realty Sdn Bhd
114751205,FREEHOLD🔥3 BILIK🌟960sqf🌟Pangsapuri Kenangan Bukit Rimau Shah Alam,330000,Selangor,Shah Alam,Apartment,Leasehold,960,3,2,Maxxan Realty Sdn Bhd
114815454,NICE VIEW + COVERED PARKING🌟870sf🌟Amazing Heights Sungai Udang Klang,210000,Selangor,Klang,Apartment,Freehold,870,3,2,Maxxan Realty Sdn Bhd
114732510,ENDLOT RENO🌟4 BILIK🌟2-sty Desa Alam Seksyen U12 Shah Alam,570000,Selangor,Shah Alam,2-storey Terraced House,Leasehold,1080,4,3,Maxxan Realty Sdn Bhd
114833497,FACING OPEN FULLY EXTENDED Double Storey Bandar Baru Sri Petaling KL,1350000,Kuala Lumpur,Sri Petaling,2-storey Terraced House,Freehold,2500,5,3,HEBAT REALTORS
114175401,Banglo 1 tingkat Melor,445000,Kelantan,Melor,Bungalow House,Freehold,1528,4,3,QUALITY HOMES
110807449,2 Unit Semi D Taman SBJ Firdaus Panji Kubang Kerian Kota Bharu,398000,Kelantan,Kota Bharu,Semi-Detached House,Freehold,1883,2,3,QUALITY HOMES
106031160,[Corner Lot] 2 Storey Semi D Hampton Residence Bandar Seri Coalfields,1550000,Selangor,Sungai Buloh,Semi-Detached House,Freehold,6404,6,5,TECH REALTORS PROPERTIES SDN BHD
114731898,Masai Bandar Baru Permas Jaya Jalan Permas L.Cost Double Storey House,398000,Johor,Masai,2-storey Terraced House,Freehold,700,3,2,Royce Properties
113928501,【100% FULL LOAN🔥】Kasturi Idaman Apartment Kota Damansara 0% DEPOSIT✅,340000,Selangor,Kota Damansara,Condominium,Leasehold,947,3,2,THE INFINITE ESTATE SDN BHD
113798767,【OFFER  FULL LOAN🔥】Vesta View Taman Putra Impian Kajang【 0% DEPOSIT✅】,225000,Selangor,Kajang,Apartment,Leasehold,870,3,2,THE INFINITE ESTATE SDN BHD
113344744,【FULL LOAN OK🔥】Alam Sanjung Seksyen 22 Shah Alam 2Carpark 0% DEPOSIT✅,300000,Selangor,Shah Alam,Service Residence,Freehold,914,3,2,THE INFINITE ESTATE SDN BHD
114202136,【100% FULL LOAN🔥】Sinar Apartment Sepang Salak Perdana【0% DEPOSIT✅】,165000,Selangor,Sepang,Apartment,Freehold,853,3,2,THE INFINITE ESTATE SDN BHD
109462137,Pahang agriculture land for sales,4150000,Pahang,Temerloh,Agricultural Land,Leasehold,500,N/A,N/A,Great Casa Realty Sdn. Bhd.
